planet_name mass    radius  temp    k2      m_core  ice_mass    rock_mass   h_he_mass
mercury     0.0553  0.383   440     0.437   0.709   0.0         0.201       0
venus       0.815   0.950   184     0.295   0.35    0.01        0.64        0
earth       1       1       254     0.3531  0.325   0.01        0.665       0
moon        0.0123  0.273   270     0.02416 0.01    0.01        0.98        0
mars        0.107   0.532   210     0.159   0.24    0.05        0.71        0
jupiter     317.8   11.209  110     0.535   0.056   0.014       0.01        0.92
saturn      95.2    9.14    81      0.39    0.14    0.14        0.15        0.57
uranus      14.5    3.98    58      0.10    0.18    0.49        0.13        0.2
neptune     17.1    3.87    47      0.16/0.392    0.24    0.29        0.67        0.14
GJ436b      22.1    4.2     650     0.72    0.5     0.2         0.2         0.1
